,actual_home_win,pred_home_win,pred_home_win_proba
28471,0,0,0.4814576868278826
27998,1,1,0.5709489863317805
29836,0,1,0.5353837808007571
30093,1,0,0.4985662635610709
28031,1,1,0.7824622035509367
29522,0,1,0.541404514941125
28189,1,1,0.51573859367028
33661,1,0,0.4592140494200152
32047,1,1,0.6193419837604826
34269,1,1,0.770691743122124
34772,1,0,0.4446154386784812
31097,1,1,0.552444855893245
28405,1,1,0.8473515699439841
32524,1,1,0.5862330260106151
32525,0,0,0.4764461954235633
28144,1,0,0.4801903159001444
33974,0,1,0.5667935581089975
34644,0,0,0.346877875027086
29784,0,1,0.5501036874247275
27924,1,1,0.5859953934205877
29198,1,1,0.6022093537726705
27748,0,1,0.5779133144333667
29988,0,0,0.33274337847209834
28110,1,1,0.5479144967095578
28765,1,1,0.5972539813403421
28796,0,0,0.4861176095083088
27265,0,1,0.5105689818451971
32165,1,1,0.6657065800613425
30838,1,1,0.5418282576924836
33092,1,1,0.5148966940231028
27610,1,1,0.571634526487672
27246,0,0,0.39040068092141894
33226,1,1,0.5930833074576606
30304,0,0,0.34508516971931164
34525,1,0,0.4330287132212562
28386,1,1,0.6211317204920593
35368,1,1,0.6628057684872273
34365,0,1,0.5358814482836936
31483,0,0,0.49466136096444463
34160,1,1,0.7964389302236766
28906,0,1,0.5041690896208753
33869,0,1,0.5786997076091318
33767,1,1,0.601072259572802
28119,1,1,0.6410700128468408
35153,1,0,0.4714497861974767
33282,1,1,0.5212019106108672
33061,1,1,0.7017182386430807
31048,1,1,0.6832456258007908
28093,1,0,0.4607863329707008
32041,1,1,0.6924773299489663
34297,1,1,0.5572089907309182
28048,1,1,0.5878094190445387
33195,1,1,0.5584949134425502
31890,0,1,0.530149536740502
28347,1,1,0.8553988129390566
27667,1,1,0.6533231872001027
31750,1,1,0.5078452172592856
27474,1,1,0.5672395474012163
33277,1,1,0.777227642023835
34809,1,0,0.4528070119696118
33619,0,1,0.7021425908425428
35026,1,0,0.4005236671653965
31962,1,1,0.5230727650294102
32989,0,1,0.5793670019354602
35019,0,0,0.3289612684162724
34816,1,1,0.674582610711633
34286,1,1,0.5866007288057655
28169,0,1,0.5398759790896684
31264,0,1,0.5257762482082637
30011,1,1,0.58767124960683
30544,1,1,0.6682261583892624
31271,0,0,0.3430104246435266
28659,0,1,0.6020814072219144
29230,1,1,0.7351323842801833
30925,0,0,0.35397437315973884
29470,0,0,0.4511969232256095
29193,0,0,0.46167860639809455
35318,1,1,0.5288689457259421
31906,1,1,0.5812400405799657
30172,0,1,0.5769961316931815
27642,0,0,0.2834326462775697
29979,1,1,0.6491117498325287
30754,1,1,0.6553481268988532
29895,0,1,0.6672709965898672
28153,1,1,0.554523350839641
31085,1,1,0.677762200106672
27420,1,1,0.6814706674414646
27481,0,1,0.6989965317348219
34121,1,1,0.698420505656978
33892,0,0,0.339793732721734
27945,0,1,0.6049038778428715
35166,1,1,0.6247571627014991
34118,0,0,0.457956787761962
29764,1,1,0.7389974309246123
27243,1,1,0.6965852436205242
29648,1,1,0.5587154514419463
30373,1,1,0.8159272136567982
30912,0,1,0.724558690004043
32967,1,0,0.39986621614834644
28412,0,0,0.40125664325512067
34105,1,1,0.6833210900386759
35035,1,0,0.4856014685220151
33048,1,0,0.4422404764791793
31537,0,1,0.5677393913582747
32221,1,1,0.6627548579416295
