,actual_home_win,pred_home_win,pred_home_win_proba
29129,0,0,0.44249378427892544
27855,0,1,0.5666794278428264
34721,1,1,0.7511031293652689
28984,1,1,0.5981484271045342
27381,1,1,0.6880960608700009
31817,0,0,0.4490500426023635
34684,0,1,0.6014445510324703
35249,1,1,0.68337031767066
32107,0,1,0.5581656100421614
31046,0,0,0.2560119611959285
34688,0,1,0.7049827199640981
27419,1,1,0.6112800736634579
32262,1,1,0.651929331867677
31943,1,1,0.6340542434648587
35146,0,1,0.5018701598932168
29695,1,1,0.7550314170843195
34951,1,0,0.46403093043827576
31262,1,1,0.684833600935128
30886,1,0,0.426582732288542
28784,1,1,0.5775243965360053
35293,0,1,0.7069334710244083
29757,0,0,0.33359921770743417
31005,0,1,0.5846228403353804
29954,0,0,0.36557379600954937
33782,1,1,0.6077615851198507
35387,0,1,0.5494387621472311
28083,1,1,0.6428997730955551
34517,0,1,0.6789846643223996
29414,1,1,0.5496997176288704
32903,1,1,0.5256822477508724
31744,1,0,0.42116408393619414
33427,0,1,0.8420151666126777
30547,0,1,0.5597946380531426
35242,0,0,0.30488906382017184
34528,1,1,0.6783746620621497
33026,1,1,0.7162191473131291
33471,1,0,0.4761968079232578
32994,1,0,0.4607185323473728
33882,1,0,0.43805064960314716
35069,1,1,0.7002528640874904
33084,0,0,0.4424883970334115
35355,1,0,0.46107584136569896
34137,1,1,0.5894576792681274
30162,1,0,0.4285394470427729
33403,0,1,0.6189502765894879
34379,0,0,0.43326767848069325
34000,1,1,0.6226182858878527
29707,1,1,0.788956946004309
29439,1,1,0.7377715578104818
29865,0,1,0.5184425883379362
27523,1,1,0.594292909252783
28994,0,1,0.5657898238803071
32466,1,1,0.6822418449921696
32933,1,0,0.4761553834011289
32886,1,0,0.4797045078238293
28076,1,1,0.6699266239064491
32587,1,0,0.3944558853925612
32448,1,1,0.5449284595970795
32683,1,1,0.7218175824617689
29758,0,0,0.47638660792896786
32036,1,0,0.33036162523981427
33538,1,0,0.4682102177097147
31107,0,1,0.8051567682724672
32297,1,1,0.5762631641117993
34221,1,1,0.6243496711179177
27159,0,0,0.3163669655985106
31668,1,1,0.5928646492800589
29018,0,0,0.4895333682047573
31669,0,0,0.47143855659262657
31354,1,1,0.5169409680773153
28449,1,1,0.737625323351904
29588,1,1,0.595095219793055
35300,1,1,0.7835496038329901
27415,0,1,0.5254720579406543
30604,1,1,0.6448609958534309
35102,1,1,0.6102392691687852
30686,1,1,0.504376881962098
29754,1,0,0.46652134274598567
29987,0,0,0.25102761733845413
30867,1,1,0.6084114735856859
34588,1,0,0.4658542823315067
31957,0,0,0.39790159207722986
27993,1,1,0.5343798102286347
31898,1,1,0.589463624708703
28327,0,0,0.2881424502446152
29746,0,1,0.6116688227588136
32387,0,1,0.5955372940502217
28389,1,1,0.7701038178019722
29902,0,0,0.4451174204183244
31413,1,1,0.5653581417739834
27877,1,1,0.6902465327220974
30418,0,0,0.37216945058567014
29873,1,1,0.620880933819807
30856,0,0,0.4647687302167647
31594,1,1,0.6221767056390762
30521,1,0,0.40468161895849575
28936,0,1,0.5535493748134971
32280,0,1,0.5163893841005649
33626,0,0,0.36874412358770414
33317,0,1,0.6046010465964798
34397,0,1,0.5477388204055945
30111,0,0,0.4799482465159813
30616,1,1,0.7186176188571026
28127,0,1,0.6627042296789233
32210,0,1,0.5873201628334268
27329,1,1,0.5820761454463526
32333,1,1,0.6059877876187217
30062,0,1,0.5541095542941572
29292,0,0,0.4244563802187974
30601,1,1,0.5614826974090856
28060,0,0,0.33653637613606013
29587,1,1,0.588640699385452
32843,0,1,0.6796208617655738
31439,1,1,0.503750348931987
35210,1,1,0.5749957922089138
32074,1,1,0.6062830636947102
33676,0,1,0.6048379309313792
32072,1,1,0.5551864230374693
29471,0,0,0.31187021260923375
28625,0,1,0.5609809276660552
33336,1,1,0.5507200639765059
30850,1,0,0.49442554294702085
28439,0,1,0.7085670126109325
32523,0,0,0.43435411042711125
32879,0,0,0.3814318764030191
35179,0,0,0.33870066230857504
27553,1,1,0.5734156297812985
30918,1,1,0.5500974892200707
28496,0,0,0.3086332657021723
34536,1,1,0.6410606376137244
30541,0,0,0.29209625035672443
31361,1,0,0.41399829003043914
32846,1,1,0.582535905686347
31044,1,1,0.548537334204981
29564,1,1,0.573575369012458
33434,0,0,0.36737454657090085
29933,0,0,0.3783073627704848
31928,0,1,0.5900095008678313
29299,1,1,0.5660082456218819
31032,0,0,0.48227860411969253
34858,0,0,0.4507606543155964
35181,0,1,0.5882940258232427
33595,1,1,0.6800968156904073
32003,1,0,0.45425423250694186
33406,0,0,0.482262262936316
33624,0,1,0.6203904735307767
32152,1,1,0.5362113976419757
34444,1,0,0.2414611386940669
35133,1,1,0.7549183809397916
32455,0,1,0.6467516040545501
32094,0,1,0.6264671489925697
31775,1,0,0.44160352878733744
31451,0,1,0.5997950985485725
27167,0,0,0.4553450470597189
27288,1,1,0.6627952616563797
28856,1,1,0.5030005182175964
31574,1,1,0.5224550405867937
29837,0,0,0.48395400746363615
33129,1,1,0.5207792304673392
35418,1,0,0.48300552016246
30375,0,0,0.2587295195816979
28652,1,1,0.5236734484167961
27519,0,1,0.7195605587990659
31685,1,1,0.5306761796978479
31972,1,0,0.39311620565135075
32738,0,0,0.38269106011852794
28960,1,1,0.7502280322421965
